"UNIQUE_SYSTEM_IDENTIFIER","ORGANIZATION_NAME","CHARGE_PROFILE","IDENTITY_STATUS","TRUST_LEVEL","INITIATING_MSISDN","RECEIVING_MSISDN","RECEIPT_NUMBER","DATE_TIMESTAMP","TRANSACTION_STATUS","TRANSACTION_TYPE","REASON_TYPE","TOTAL_AMOUNT_AOA","CHARGE_AMOUNT_AOA","COMMISSION_AMOUNT","SERVICE_ALIAS"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP8P07BUK","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",204,4.65,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP3P07GC3","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",20000,456,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP9P08B3H","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",3000,68.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P08CM2","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P07FKS","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP1P07FL3","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",20000,456,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P07E40","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",10000,228,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P08BBY","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",9000,205.2,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP6P08BYI","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",8000,182.4,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP7P08BZX","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",300,6.84,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP3P08BEP","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",10000,228,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP7P08F7H","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P09K0G","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",300,6.84,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P09BBY","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP7P09IGJ","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",4000,91.2,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P09MM2","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",5000,114,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP2P0YS1E","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P0Z2MQ","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",2000,45.6,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP1P0ZWD1","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",40000,912,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP8P0YMPM","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",2000,45.6,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP1P0XS3H","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",7000,159.6,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P13S48","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P11KNY","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",3000,68.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP8P11LLE","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP9P12KCT","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",10000,228,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP5P0P09L","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P0O1VO","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP7P0QO0H","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",300,6.84,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP5P0HGY3","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP8P0H7YA","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",400,9.12,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP2P0JU2Q","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP1P0H3RT","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP7P0I94B","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",900,20.52,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP3P0JQ3F","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P0IF42","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P0IJ1G","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",15000,342,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP7P0JE63","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P0I692","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP8P0JKH2","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP7P0J1I9","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",5000,114,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P0LM8E","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P0LGMG","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP3P0LMQJ","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",30000,684,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP5P0KKJB","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",6800,155.04,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P0KW3A","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP8P0KLAW","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1500,34.2,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P0N0AW","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",25000,570,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P0LGKI","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP9P0MKJ3","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP4P0NBAA","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",5000,114,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP5P0MY27","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP6P0KV64","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",400,9.12,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP9P0KH93","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",300,6.84,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP2P0N93M","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",20000,456,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP7P0OQE3","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",5100,116.28,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP9P0P84H","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",10000,228,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP8P17DSO","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P15M9S","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",2500,57,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP8P14KDA","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P16B16","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",3000,68.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P17B2S","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P16NBI","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",300,6.84,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP7P0YA0D","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP8P0XVT0","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",50000,1140,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP3P10JSZ","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P0UU7I","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",2000,45.6,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP6P0VNIY","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",400,9.12,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP6P0WUX6","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP6P0WMVG","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP2P0T30U","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1600,36.48,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP9P0RGO7","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",800,18.24,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP1P0RAI1","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP2P0RIBQ","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",300,6.84,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP5P0VBSZ","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP1P0WQLH","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",8000,182.4,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP3P0XEDN","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",2000,45.6,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P0WQO8","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",3000,68.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP3P0RPLP","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",600,13.68,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P0RSJ6","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP5P0RS9V","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",31000,706.8,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP5P1JKKP","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",3000,68.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP5P1LAWV","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P1KQBW","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",3000,68.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP6P1I0FM","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP3P1JF03","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
